Model      | Query ID   | Doc ID     | Title                                                        | Query                                             
VSM        | 4          | 1073       | a practical method for numerical evaluation of solutions o   | what problems of heat conduction in composite...  
VSM        | 4          | 91         | periodic temperature distribution in a two-layer composite   | what problems of heat conduction in composite...  
LM         | 4          | 399        | conduction of heat in composite slabs .                      | what problems of heat conduction in composite...  
LM         | 4          | 5          | one-dimensional transient heat conduction into a double-la   | what problems of heat conduction in composite...  
LM         | 4          | 144        | heat flow in composite slabs .                               | what problems of heat conduction in composite...  
LM         | 4          | 181        | some problems on heat conduction in stratiform bodies .      | what problems of heat conduction in composite...  
LM         | 4          | 542        | biot's variational principle in heat conduction .            | what problems of heat conduction in composite...  
LM         | 4          | 485        | linear heat flow in a composite slab .                       | what problems of heat conduction in composite...  
LM         | 4          | 828        | stresses and small displacements of shallow spherical shel   | what problems of heat conduction in composite...  
LM         | 4          | 251        | a collection of longitudinal stability derivatives of wing   | what problems of heat conduction in composite...  
LM         | 4          | 826        | small bending and stretching of sandwich type shells .       | what problems of heat conduction in composite...  
LM         | 4          | 1072       | ignition and combustion in a laminar mixing zone .           | what problems of heat conduction in composite...  
VSM        | 8          | 166        | flow of chemically reacting gas mixtures .                   | can a criterion be developed to show empirica...  
VSM        | 8          | 488        | a reaction-rate parameter for gasdynamics of a chemically    | can a criterion be developed to show empirica...  
VSM        | 8          | 185        | some possibilities of using gas mixtures other than in aer   | can a criterion be developed to show empirica...  
VSM        | 8          | 236        | criteria for thermodynamic equilibrium in gas flow .         | can a criterion be developed to show empirica...  
VSM        | 8          | 410        | the supersonic flow about a blunt body of revolution for g   | can a criterion be developed to show empirica...  
VSM        | 8          | 1189       | nonequilibrium flow past a wedge .                           | can a criterion be developed to show empirica...  
VSM        | 8          | 1275       | flow about an unsteadily rotating disc .                     | can a criterion be developed to show empirica...  
VSM        | 8          | 317        | non-equilibrium flow of an ideal dissociating gas .          | can a criterion be developed to show empirica...  
VSM        | 8          | 1312       | tabulated solutions of the equilibrium gas properties behi   | can a criterion be developed to show empirica...  
VSM        | 8          | 1061       | turbulent mixing of a rocket exhaust jet with a supersonic   | can a criterion be developed to show empirica...  
LM         | 8          | 166        | flow of chemically reacting gas mixtures .                   | can a criterion be developed to show empirica...  
LM         | 8          | 488        | a reaction-rate parameter for gasdynamics of a chemically    | can a criterion be developed to show empirica...  
LM         | 8          | 1189       | nonequilibrium flow past a wedge .                           | can a criterion be developed to show empirica...  
LM         | 8          | 1061       | turbulent mixing of a rocket exhaust jet with a supersonic   | can a criterion be developed to show empirica...  
LM         | 8          | 1275       | flow about an unsteadily rotating disc .                     | can a criterion be developed to show empirica...  
LM         | 8          | 1085       | note on the convergence of numerical solutions of the navi   | can a criterion be developed to show empirica...  
LM         | 8          | 185        | some possibilities of using gas mixtures other than in aer   | can a criterion be developed to show empirica...  
LM         | 8          | 1123       | an extension of donnell's equation for a circular cylindri   | can a criterion be developed to show empirica...  
LM         | 8          | 236        | criteria for thermodynamic equilibrium in gas flow .         | can a criterion be developed to show empirica...  
LM         | 8          | 1312       | tabulated solutions of the equilibrium gas properties behi   | can a criterion be developed to show empirica...  
VSM        | 9          | 103        | theory of mixing and chemical reaction in the opposed jet    | what chemical kinetic system is applicable to...  
VSM        | 9          | 746        | aeroelastic problems in connection with high speed flight    | what chemical kinetic system is applicable to...  
VSM        | 9          | 410        | the supersonic flow about a blunt body of revolution for g   | what chemical kinetic system is applicable to...  
VSM        | 9          | 1272       | oscillatory aerodynamic coefficients for a unified superso   | what chemical kinetic system is applicable to...  
VSM        | 9          | 540        | use of local similarity concepts in hypersonic viscous int   | what chemical kinetic system is applicable to...  
VSM        | 9          | 1379       | hypersonic flight and the re-entry problem .                 | what chemical kinetic system is applicable to...  
VSM        | 9          | 1296       | non-equilibrium expansions of air with coupled chemical re   | what chemical kinetic system is applicable to...  
VSM        | 9          | 552        | chemical kinetics of high temperature air .                  | what chemical kinetic system is applicable to...  
VSM        | 9          | 19         | an investigation of the pressure distribution on conical b   | what chemical kinetic system is applicable to...  
VSM        | 9          | 708        | aerodynamic characteristics of two winged reentry vehicles   | what chemical kinetic system is applicable to...  
LM         | 9          | 103        | theory of mixing and chemical reaction in the opposed jet    | what chemical kinetic system is applicable to...  
LM         | 9          | 1032       | on the conservativeness of various distributed force syste   | what chemical kinetic system is applicable to...  
LM         | 9          | 943        | compressible free shear layer with finite initial thicknes   | what chemical kinetic system is applicable to...  
LM         | 9          | 1296       | non-equilibrium expansions of air with coupled chemical re   | what chemical kinetic system is applicable to...  
LM         | 9          | 828        | stresses and small displacements of shallow spherical shel   | what chemical kinetic system is applicable to...  
LM         | 9          | 746        | aeroelastic problems in connection with high speed flight    | what chemical kinetic system is applicable to...  
LM         | 9          | 625        | viscous and inviscid nonequilibrium gas flows .              | what chemical kinetic system is applicable to...  
LM         | 9          | 28         | a note on the explosion solution of sedov with application   | what chemical kinetic system is applicable to...  
LM         | 9          | 1272       | oscillatory aerodynamic coefficients for a unified superso   | what chemical kinetic system is applicable to...  
LM         | 9          | 1068       | instability analysis of cylindrical shells under hydrostat   | what chemical kinetic system is applicable to...  
VSM        | 10         | 491        | on the close relationship between turbulent plane-couette    | what theoretical and experimental guides do w...  
VSM        | 10         | 386        | a generalised porous-wall ?couette type? flow .              | what theoretical and experimental guides do w...  
VSM        | 10         | 385        | on a generalised porous-wall ?couette type? flow .           | what theoretical and experimental guides do w...  
VSM        | 10         | 1273       | magnetohydrodynamic effects on the formation of couette, f   | what theoretical and experimental guides do w...  
VSM        | 10         | 257        | on turbulen flow between parallel plates .                   | what theoretical and experimental guides do w...  
VSM        | 10         | 271        | an experimental test of compressibility transformation for   | what theoretical and experimental guides do w...  
VSM        | 10         | 406        | on the behaviour of boundary layers at supersonic speeds .   | what theoretical and experimental guides do w...  
VSM        | 10         | 398        | heat transfer in turbulent shear flow .                      | what theoretical and experimental guides do w...  
VSM        | 10         | 1282       | compressible flat-plate boundary-layer flow with an applie   | what theoretical and experimental guides do w...  
VSM        | 10         | 861        | charts adapted from van driest's turbulent flat-plate theo   | what theoretical and experimental guides do w...  
LM         | 10         | 491        | on the close relationship between turbulent plane-couette    | what theoretical and experimental guides do w...  
LM         | 10         | 257        | on turbulen flow between parallel plates .                   | what theoretical and experimental guides do w...  
LM         | 10         | 315        | scale effects at high subsonic and transonic speeds and me   | what theoretical and experimental guides do w...  
LM         | 10         | 251        | a collection of longitudinal stability derivatives of wing   | what theoretical and experimental guides do w...  
LM         | 10         | 121        | a theory for base pressures in transonic and supersonic fl   | what theoretical and experimental guides do w...  
LM         | 10         | 148        | on displacement thickness .                                  | what theoretical and experimental guides do w...  
LM         | 10         | 386        | a generalised porous-wall ?couette type? flow .              | what theoretical and experimental guides do w...  
LM         | 10         | 296        | notes on waves through gases at pressures small compared w   | what theoretical and experimental guides do w...  
LM         | 10         | 385        | on a generalised porous-wall ?couette type? flow .           | what theoretical and experimental guides do w...  
LM         | 10         | 1273       | magnetohydrodynamic effects on the formation of couette, f   | what theoretical and experimental guides do w...  
VSM        | 12         | 492        | prediction of ogive-forebody pressures at angles of attack   | is it possible to relate the available pressu...  
VSM        | 12         | 434        | contributions of the wing panels to the forces and moments   | is it possible to relate the available pressu...  
VSM        | 12         | 973        | interaction effects produced by jet exhausting laterally n   | is it possible to relate the available pressu...  
VSM        | 12         | 1040       | on transverse vibrations of thin, shallow elastic shells .   | is it possible to relate the available pressu...  
VSM        | 12         | 57         | applicability of the hypersonic similarity rule to pressur   | is it possible to relate the available pressu...  
VSM        | 12         | 56         | an analysis of the applicability of the hypersonic similar   | is it possible to relate the available pressu...  
VSM        | 12         | 354        | laminar heat-transfer and pressure measurements over blunt   | is it possible to relate the available pressu...  
VSM        | 12         | 122        | a simplified approximate method for the calculation of the   | is it possible to relate the available pressu...  
VSM        | 12         | 48         | supersonic flow at the surface of a circular cone at angle   | is it possible to relate the available pressu...  
VSM        | 12         | 248        | the application of lighthill formula for numerical calcula   | is it possible to relate the available pressu...  
LM         | 12         | 492        | prediction of ogive-forebody pressures at angles of attack   | is it possible to relate the available pressu...  
LM         | 12         | 56         | an analysis of the applicability of the hypersonic similar   | is it possible to relate the available pressu...  
LM         | 12         | 973        | interaction effects produced by jet exhausting laterally n   | is it possible to relate the available pressu...  
LM         | 12         | 57         | applicability of the hypersonic similarity rule to pressur   | is it possible to relate the available pressu...  
LM         | 12         | 434        | contributions of the wing panels to the forces and moments   | is it possible to relate the available pressu...  
LM         | 12         | 122        | a simplified approximate method for the calculation of the   | is it possible to relate the available pressu...  
LM         | 12         | 1231       | hypersonic flow over an elliptic cone: theory and experime   | is it possible to relate the available pressu...  
LM         | 12         | 124        | a summary of the supersonic pressure drag of bodies of rev   | is it possible to relate the available pressu...  
LM         | 12         | 232        | accuracy of approximate methods for predicting pressure on   | is it possible to relate the available pressu...  
LM         | 12         | 248        | the application of lighthill formula for numerical calcula   | is it possible to relate the available pressu...  
VSM        | 13         | 492        | prediction of ogive-forebody pressures at angles of attack   | what methods -dash exact or approximate -dash...  
VSM        | 13         | 122        | a simplified approximate method for the calculation of the   | what methods -dash exact or approximate -dash...  
VSM        | 13         | 461        | approximate methods fore predicting separation properties    | what methods -dash exact or approximate -dash...  
VSM        | 13         | 1082       | the flow past pitot tube at low reynolds numbers, part 1-d   | what methods -dash exact or approximate -dash...  
VSM        | 13         | 1311       | some simple solutions to the problem of predicting boundar   | what methods -dash exact or approximate -dash...  
VSM        | 13         | 711        | an investigation at subsonic speeds of aerodynamic charact   | what methods -dash exact or approximate -dash...  
VSM        | 13         | 569        | an experimental investigation of leading edge shock wave b   | what methods -dash exact or approximate -dash...  
VSM        | 13         | 232        | accuracy of approximate methods for predicting pressure on   | what methods -dash exact or approximate -dash...  
VSM        | 13         | 1083       | an investigation of fluid flow in two dimensions .           | what methods -dash exact or approximate -dash...  
VSM        | 13         | 907        | cavitation and pressure distribution head forms at zero an   | what methods -dash exact or approximate -dash...  
LM         | 13         | 122        | a simplified approximate method for the calculation of the   | what methods -dash exact or approximate -dash...  
LM         | 13         | 711        | an investigation at subsonic speeds of aerodynamic charact   | what methods -dash exact or approximate -dash...  
LM         | 13         | 443        | calculated and measured pressure distributions over the mi   | what methods -dash exact or approximate -dash...  
LM         | 13         | 907        | cavitation and pressure distribution head forms at zero an   | what methods -dash exact or approximate -dash...  
LM         | 13         | 492        | prediction of ogive-forebody pressures at angles of attack   | what methods -dash exact or approximate -dash...  
LM         | 13         | 556        | numerical comparison between exact and approximate theorie   | what methods -dash exact or approximate -dash...  
LM         | 13         | 232        | accuracy of approximate methods for predicting pressure on   | what methods -dash exact or approximate -dash...  
LM         | 13         | 1083       | an investigation of fluid flow in two dimensions .           | what methods -dash exact or approximate -dash...  
LM         | 13         | 237        | a compressor routine test code .                             | what methods -dash exact or approximate -dash...  
LM         | 13         | 461        | approximate methods fore predicting separation properties    | what methods -dash exact or approximate -dash...  
VSM        | 15         | 21         | on heat transfer in slip flow .                              | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 550        | laminar heat transfer in tubes under slip-flow conditions    | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 22         | on slip-flow heat transfer to a flat plate .                 | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 306        | second approximation to laminar compressible boundary laye   | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 571        | heat transfer to flat plate in high temperature rarefied u   | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 45         | an investigation of separated flows, part ii: flow in the    | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 1215       | the effect of slip particularly for highly cooled walls .    | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 326        | forst-order slip effects on the compressible laminar bound   | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 398        | heat transfer in turbulent shear flow .                      | papers on internal /slip flow/ heat transfer ...  
VSM        | 15         | 528        | first-order slip effects on the laminar boundary layer ove   | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 21         | on heat transfer in slip flow .                              | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 45         | an investigation of separated flows, part ii: flow in the    | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 270        | on combined free and forced convection laminar magnetohydr   | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 550        | laminar heat transfer in tubes under slip-flow conditions    | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 22         | on slip-flow heat transfer to a flat plate .                 | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 571        | heat transfer to flat plate in high temperature rarefied u   | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 306        | second approximation to laminar compressible boundary laye   | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 303        | effect of variable heat recombination on stagnation point    | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 46         | some comments on the inversion of certain large matrices .   | papers on internal /slip flow/ heat transfer ...  
LM         | 15         | 102        | advantages and limitations of models .                       | papers on internal /slip flow/ heat transfer ...  
VSM        | 18         | 493        | real-gas laminar boundary layer skin friction and heat tra   | are real-gas transport properties for air ava...  
VSM        | 18         | 302        | approximations for the thermodynamic and transport propert   | are real-gas transport properties for air ava...  
VSM        | 18         | 949        | charts for equilibrium flow properties of air in hyper-vel   | are real-gas transport properties for air ava...  
VSM        | 18         | 1199       | theoretical investigations of a supersonic laminar boundar   | are real-gas transport properties for air ava...  
VSM        | 18         | 691        | calculation procedure for thermodynamic transport, and flo   | are real-gas transport properties for air ava...  
VSM        | 18         | 1286       | equilibrium real-gas performance charts for a shypersonic    | are real-gas transport properties for air ava...  
VSM        | 18         | 524        | stagnation point heat transfer in partially ionized air .    | are real-gas transport properties for air ava...  
VSM        | 18         | 405        | tables of thermal properties of gases .                      | are real-gas transport properties for air ava...  
VSM        | 18         | 1214       | the drag of elongated bodies over a wide reynolds number r   | are real-gas transport properties for air ava...  
VSM        | 18         | 583        | influence coefficients for real gases .                      | are real-gas transport properties for air ava...  
LM         | 18         | 493        | real-gas laminar boundary layer skin friction and heat tra   | are real-gas transport properties for air ava...  
LM         | 18         | 302        | approximations for the thermodynamic and transport propert   | are real-gas transport properties for air ava...  
LM         | 18         | 949        | charts for equilibrium flow properties of air in hyper-vel   | are real-gas transport properties for air ava...  
LM         | 18         | 691        | calculation procedure for thermodynamic transport, and flo   | are real-gas transport properties for air ava...  
LM         | 18         | 1286       | equilibrium real-gas performance charts for a shypersonic    | are real-gas transport properties for air ava...  
LM         | 18         | 1214       | the drag of elongated bodies over a wide reynolds number r   | are real-gas transport properties for air ava...  
LM         | 18         | 524        | stagnation point heat transfer in partially ionized air .    | are real-gas transport properties for air ava...  
LM         | 18         | 1199       | theoretical investigations of a supersonic laminar boundar   | are real-gas transport properties for air ava...  
LM         | 18         | 1010       | free-flight measurements of the static and dynamic .         | are real-gas transport properties for air ava...  
LM         | 18         | 781        | use of subsonic kernel function in an influence-coefficien   | are real-gas transport properties for air ava...  
VSM        | 22         | 495        | on similar solutions for strong blast waves and their appl   | is it possible to find an analytical,  simila...  
VSM        | 22         | 654        | on the propagation and structure of the blast wave . part    | is it possible to find an analytical,  simila...  
VSM        | 22         | 1327       | on the propagation and structure of the blast wave .         | is it possible to find an analytical,  simila...  
VSM        | 22         | 1356       | secondary flow fields embedded in hypersonic shock layers    | is it possible to find an analytical,  simila...  
VSM        | 22         | 28         | a note on the explosion solution of sedov with application   | is it possible to find an analytical,  simila...  
VSM        | 22         | 556        | numerical comparison between exact and approximate theorie   | is it possible to find an analytical,  simila...  
VSM        | 22         | 304        | first-order approach to a strong interaction problem in hy   | is it possible to find an analytical,  simila...  
VSM        | 22         | 27         | newtonian flow theory for slender bodies .                   | is it possible to find an analytical,  simila...  
VSM        | 22         | 1238       | the newtonian approximation in magnetic hypersonic stagnat   | is it possible to find an analytical,  simila...  
VSM        | 22         | 72         | boundary layer behind shock or thin expansion wave moving    | is it possible to find an analytical,  simila...  
LM         | 22         | 495        | on similar solutions for strong blast waves and their appl   | is it possible to find an analytical,  simila...  
LM         | 22         | 654        | on the propagation and structure of the blast wave . part    | is it possible to find an analytical,  simila...  
LM         | 22         | 341        | the analytical design of an axially symmetric laval nozzle   | is it possible to find an analytical,  simila...  
LM         | 22         | 110        | dynamics of a dissociating gas .                             | is it possible to find an analytical,  simila...  
LM         | 22         | 667        | hypersonic shock layer theory of the stagnation region at    | is it possible to find an analytical,  simila...  
LM         | 22         | 472        | waves in supersonic flow .                                   | is it possible to find an analytical,  simila...  
LM         | 22         | 1327       | on the propagation and structure of the blast wave .         | is it possible to find an analytical,  simila...  
LM         | 22         | 28         | a note on the explosion solution of sedov with application   | is it possible to find an analytical,  simila...  
LM         | 22         | 304        | first-order approach to a strong interaction problem in hy   | is it possible to find an analytical,  simila...  
LM         | 22         | 262        | the formation of a blast wave by a very intense explosion    | is it possible to find an analytical,  simila...  
VSM        | 23         | 624        | cruise performance of channel-flow ground effect machines    | how can the aerodynamic performance of channe...  
VSM        | 23         | 1223       | inviscid-incompressible-flow theory of static two-dimensio   | how can the aerodynamic performance of channe...  
VSM        | 23         | 245        | the ground effect on the jet flap in two dimensions .        | how can the aerodynamic performance of channe...  
VSM        | 23         | 543        | the stacking of compressor stage characteristics to give a   | how can the aerodynamic performance of channe...  
VSM        | 23         | 652        | pressure distribution on two dimensional wings near the gr   | how can the aerodynamic performance of channe...  
VSM        | 23         | 1222       | axisymmetric magnetohydrodynamic channel flow .              | how can the aerodynamic performance of channe...  
VSM        | 23         | 650        | some design problems of hovercraft .                         | how can the aerodynamic performance of channe...  
VSM        | 23         | 631        | low speed wind tunnel tests on a two dimensional aerofoil    | how can the aerodynamic performance of channe...  
VSM        | 23         | 1164       | effect of ground proximity on the aerodynamic characterist   | how can the aerodynamic performance of channe...  
VSM        | 23         | 34         | constant-temperature magneto-gasdynamic channel flow .       | how can the aerodynamic performance of channe...  
LM         | 23         | 624        | cruise performance of channel-flow ground effect machines    | how can the aerodynamic performance of channe...  
LM         | 23         | 543        | the stacking of compressor stage characteristics to give a   | how can the aerodynamic performance of channe...  
LM         | 23         | 1232       | the curtain jet .                                            | how can the aerodynamic performance of channe...  
LM         | 23         | 649        | the hovercraft - a new concept in maritime transport .       | how can the aerodynamic performance of channe...  
LM         | 23         | 650        | some design problems of hovercraft .                         | how can the aerodynamic performance of channe...  
LM         | 23         | 1221       | steady flow of conducting fluids in channels under transve   | how can the aerodynamic performance of channe...  
LM         | 23         | 506        | a note on havelock's shallow-water wave-resistance curves    | how can the aerodynamic performance of channe...  
LM         | 23         | 1223       | inviscid-incompressible-flow theory of static two-dimensio   | how can the aerodynamic performance of channe...  
LM         | 23         | 1334       | calculated spanwise lift distributions and aerodynamic inf   | how can the aerodynamic performance of channe...  
LM         | 23         | 39         | on the flow of a sonic stream past an airfoil surface .      | how can the aerodynamic performance of channe...  
VSM        | 26         | 496        | a theory of transonic aileron buzz, neglecting viscous eff   | what is the basic mechanism of the transonic ...  
VSM        | 26         | 643        | an investigation of wing-aileron flutter using ground laun   | what is the basic mechanism of the transonic ...  
VSM        | 26         | 903        | two dimensional transonic unsteady flow with shock waves .   | what is the basic mechanism of the transonic ...  
VSM        | 26         | 199        | measurement of two dimensional derivatives on a wing-ailer   | what is the basic mechanism of the transonic ...  
VSM        | 26         | 313        | on alternative forms for the basic equations of transonic    | what is the basic mechanism of the transonic ...  
VSM        | 26         | 503        | theoretical prediction of the transonic characteristics of   | what is the basic mechanism of the transonic ...  
VSM        | 26         | 468        | a refinement of the linearised transonic flow theory .       | what is the basic mechanism of the transonic ...  
VSM        | 26         | 660        | the fundamental solution for small steady three dimensiona   | what is the basic mechanism of the transonic ...  
VSM        | 26         | 440        | compilation of information on the transonic attachment of    | what is the basic mechanism of the transonic ...  
VSM        | 26         | 526        | leading edge attachment in transonic flow with laminar or    | what is the basic mechanism of the transonic ...  
LM         | 26         | 496        | a theory of transonic aileron buzz, neglecting viscous eff   | what is the basic mechanism of the transonic ...  
LM         | 26         | 903        | two dimensional transonic unsteady flow with shock waves .   | what is the basic mechanism of the transonic ...  
LM         | 26         | 520        | wing-tail interference as a cause of 'magnus' effects on a   | what is the basic mechanism of the transonic ...  
LM         | 26         | 1268       | stable combustion of a high-velocity gas in a heated bound   | what is the basic mechanism of the transonic ...  
LM         | 26         | 313        | on alternative forms for the basic equations of transonic    | what is the basic mechanism of the transonic ...  
LM         | 26         | 38         | on the prediction of mixed subsonic/supersonic pressure di   | what is the basic mechanism of the transonic ...  
LM         | 26         | 440        | compilation of information on the transonic attachment of    | what is the basic mechanism of the transonic ...  
LM         | 26         | 880        | the design and testing of supersonic flutter models .        | what is the basic mechanism of the transonic ...  
LM         | 26         | 1099       | a theoretical study of stagnation point ablation .           | what is the basic mechanism of the transonic ...  
LM         | 26         | 643        | an investigation of wing-aileron flutter using ground laun   | what is the basic mechanism of the transonic ...  
VSM        | 27         | 64         | unsteady oblique interaction of a shock wave with plane di   | papers on shock-sound wave interaction .          
VSM        | 27         | 170        | the interaction of a reflected shock wave with the boundar   | papers on shock-sound wave interaction .          
VSM        | 27         | 256        | an experimental study of the glancing interaction between    | papers on shock-sound wave interaction .          
VSM        | 27         | 1364       | an experimental investigation of the interaction between s   | papers on shock-sound wave interaction .          
VSM        | 27         | 291        | sweepback effects in the turbulent boundary-layer shock-wa   | papers on shock-sound wave interaction .          
VSM        | 27         | 345        | the interaction of shock waves with boundary layer on a fl   | papers on shock-sound wave interaction .          
VSM        | 27         | 65         | convection of a pattern of vorticity through a shock wave    | papers on shock-sound wave interaction .          
VSM        | 27         | 132        | viscosity effects in sound waves of finite amplitude: in s   | papers on shock-sound wave interaction .          
VSM        | 27         | 798        | interaction between shock waves and boundary layers, with    | papers on shock-sound wave interaction .          
VSM        | 27         | 903        | two dimensional transonic unsteady flow with shock waves .   | papers on shock-sound wave interaction .          
LM         | 27         | 64         | unsteady oblique interaction of a shock wave with plane di   | papers on shock-sound wave interaction .          
LM         | 27         | 256        | an experimental study of the glancing interaction between    | papers on shock-sound wave interaction .          
LM         | 27         | 170        | the interaction of a reflected shock wave with the boundar   | papers on shock-sound wave interaction .          
LM         | 27         | 132        | viscosity effects in sound waves of finite amplitude: in s   | papers on shock-sound wave interaction .          
LM         | 27         | 65         | convection of a pattern of vorticity through a shock wave    | papers on shock-sound wave interaction .          
LM         | 27         | 1364       | an experimental investigation of the interaction between s   | papers on shock-sound wave interaction .          
LM         | 27         | 291        | sweepback effects in the turbulent boundary-layer shock-wa   | papers on shock-sound wave interaction .          
LM         | 27         | 46         | some comments on the inversion of certain large matrices .   | papers on shock-sound wave interaction .          
LM         | 27         | 568        | shock wave effects on the laminar skin friction of an insu   | papers on shock-sound wave interaction .          
LM         | 27         | 439        | a factor affecting transonic leading edge flow separation    | papers on shock-sound wave interaction .          
VSM        | 29         | 462        | photo-thermoelasticity .                                     | material properties of photoelastic materials .   
VSM        | 29         | 1097       | experimental ablation cooling .                              | material properties of photoelastic materials .   
